Genes
ABCB1
ACHE
ADRA1A
ADRB2
AKT1
APOB
ATP1A1
ATP6V1H
ATXN2
BAX
BCL2
CALM1
CALM2
CALM3
CALY
CAMK1
CAMK1D
CAMK1G
CAMK2A
CAMK2B
CAMKK1
CAMKK2
CASP3
CBX1
CD44
CHRM2
CSF2
CYP1A2
CYP2C19
CYP2D6
CYP3A4
DRD1
DRD2
DRD4
EBPÊ
EHMT2
EIF4EBP1
EPM2A
FMO2
GABBR1
GABBR2
GLP1R
HIF1A
HRH1
HTR2A
HTR2C
HTR6
IL12B
KCNH2
KCNN2
LAMP1
LIPA
MAPK1
MAPK14
MAPK3
MAPK8
MAPK9
MT1A
MTOR
MYL9
NEFL
NOX1
NR3C1
PARP1
PINK1
PRKDC
PRKN
PRL
RAD52
REL
RGS4
RPS6KB1
S100A4
SIGMAR1
SLC5A6
TFEB
THPO
TNFSF11
TNNC1
TP53
TSHR
THRB
TRIB1
TRIB2
TRIB3
UGT1A4
USP1
XDH
